Time (ns),Native contact,Rg (nm),RMSD (nm)
0,4.36E-01,1.4803,0.7265172
0.1,4.40E-01,1.53101,0.789409
0.2,4.36E-01,1.60814,0.7607836
0.3,4.69E-01,1.57769,0.738741
0.4,4.72E-01,1.57279,0.7723371
0.5,3.95E-01,1.56369,0.7398544
0.6,4.24E-01,1.52612,0.6654614
0.7,4.09E-01,1.47666,0.7589843
0.8,4.13E-01,1.40384,0.8227017
0.9,4.15E-01,1.46791,0.8177345
1,3.90E-01,1.50075,0.7541203
1.1,4.12E-01,1.5229,0.7053889
1.2,4.27E-01,1.45039,0.7292804
1.3,4.25E-01,1.39767,0.7383317
1.4,4.04E-01,1.31203,0.7309772
1.5,4.09E-01,1.30819,0.7110437
1.6,4.22E-01,1.30658,0.7510329
1.7,4.03E-01,1.30344,0.7732974
1.8,4.11E-01,1.30402,0.7413993
1.9,4.18E-01,1.35708,0.7941911
2,4.05E-01,1.37955,0.8544834
2.1,3.98E-01,1.31497,0.8707538
2.2,4.23E-01,1.29776,0.7859498
2.3,4.07E-01,1.33338,0.7318422
2.4,4.24E-01,1.2986,0.7794117
2.5,4.36E-01,1.30903,0.7395405
2.6,4.46E-01,1.28821,0.8103133
2.7,4.64E-01,1.31739,0.7389096
2.8,4.23E-01,1.33983,0.7714446
2.9,4.39E-01,1.33663,0.708137
3,4.13E-01,1.33289,0.7228507
3.1,4.05E-01,1.36744,0.7410604
3.2,4.61E-01,1.37669,0.6737161
3.3,4.39E-01,1.40251,0.6503563
3.4,4.19E-01,1.39328,0.6751539
3.5,4.37E-01,1.38956,0.6427042
3.6,3.99E-01,1.38381,0.6924376
3.7,4.36E-01,1.39697,0.6369569
3.8,4.32E-01,1.37891,0.6163864
3.9,4.16E-01,1.39459,0.6322827
4,4.17E-01,1.50113,0.6718723
4.1,4.19E-01,1.48573,0.6674474
4.2,4.09E-01,1.51166,0.6960184
4.3,4.00E-01,1.51264,0.6837326
4.4,4.34E-01,1.44713,0.6812648
4.5,4.18E-01,1.37244,0.6674758
4.6,4.34E-01,1.42605,0.7273495
4.7,4.13E-01,1.39938,0.6258197
4.8,4.03E-01,1.42131,0.5700956
4.9,4.17E-01,1.41298,0.561175
5,4.37E-01,1.38295,0.6931832
5.1,4.48E-01,1.38769,0.6247116
5.2,4.24E-01,1.41117,0.6409102
5.3,4.65E-01,1.40761,0.6372367
5.4,4.56E-01,1.36833,0.6123495
5.5,4.71E-01,1.35078,0.5820936
5.6,4.54E-01,1.36977,0.6353346
5.7,4.65E-01,1.34398,0.5847402
5.8,4.52E-01,1.4097,0.6563509
5.9,4.65E-01,1.4317,0.6079997
6,4.96E-01,1.33777,0.5623282
6.1,4.74E-01,1.35862,0.5490463
6.2,4.42E-01,1.31189,0.5464958
6.3,5.12E-01,1.31835,0.5410367
6.4,4.86E-01,1.30748,0.5685251
6.5,4.42E-01,1.3418,0.5695916
6.6,4.58E-01,1.28863,0.6203905
6.7,4.24E-01,1.34855,0.5980271
6.8,4.70E-01,1.34443,0.5693265
6.9,4.68E-01,1.3624,0.4869079
7,5.03E-01,1.28891,0.5105065
7.1,4.78E-01,1.34367,0.5885181
7.2,4.60E-01,1.33774,0.6223369
7.3,4.69E-01,1.37178,0.6294606
7.4,4.66E-01,1.33841,0.6132257
7.5,4.69E-01,1.31633,0.627986
7.6,4.56E-01,1.29379,0.6196071
7.7,4.46E-01,1.35836,0.6427814
7.8,4.72E-01,1.28501,0.6310954
7.9,4.38E-01,1.3007,0.6353876
8,4.32E-01,1.29516,0.6391764
8.1,4.12E-01,1.29366,0.727305
8.2,4.43E-01,1.35395,0.7290371
8.3,4.62E-01,1.33859,0.7559213
8.4,4.26E-01,1.33513,0.7638101
8.5,4.54E-01,1.3241,0.6978121
8.6,4.28E-01,1.32991,0.7089321
8.7,4.44E-01,1.3635,0.7383543
8.8,4.19E-01,1.36201,0.6695506
8.9,4.18E-01,1.33721,0.7031077
9,4.16E-01,1.36523,0.62755
9.1,3.85E-01,1.35695,0.6290113
9.2,4.31E-01,1.37256,0.6786549
9.3,4.52E-01,1.29494,0.7460513
9.4,4.62E-01,1.32554,0.7797883
9.5,4.74E-01,1.32215,0.7541522
9.6,4.61E-01,1.30454,0.7065607
9.7,4.77E-01,1.38243,0.7023268
9.8,4.79E-01,1.35958,0.7747481
9.9,5.14E-01,1.36846,0.7191383
10,4.54E-01,1.34802,0.645376
10.1,4.52E-01,1.32846,0.6436588
10.2,4.76E-01,1.31122,0.5760869
10.3,4.77E-01,1.33153,0.5896809
10.4,4.27E-01,1.3083,0.635371
10.5,4.11E-01,1.34223,0.6023182
10.6,4.05E-01,1.38099,0.6624789
10.7,3.92E-01,1.3748,0.6524448
10.8,4.29E-01,1.37206,0.5907829
10.9,4.17E-01,1.35155,0.6809648
11,4.25E-01,1.38611,0.695751
11.1,4.83E-01,1.38295,0.6956498
11.2,4.70E-01,1.44296,0.7793149
11.3,4.77E-01,1.38095,0.7328036
11.4,4.79E-01,1.42399,0.742738
11.5,4.91E-01,1.39468,0.6617054
11.6,4.85E-01,1.3337,0.6309939
