Time (ns),Native contact,Rg (nm),RMSD (nm)
0,5.78E-01,1.22784,0.4460073
0.1,5.61E-01,1.23041,0.4915651
0.2,5.85E-01,1.2215,0.4823856
0.3,6.04E-01,1.18634,0.4744864
0.4,5.87E-01,1.18863,0.4897225
0.5,5.93E-01,1.20448,0.4706795
0.6,5.74E-01,1.21538,0.4843755
0.7,5.76E-01,1.19975,0.5195497
0.8,5.81E-01,1.20252,0.5032582
0.9,5.92E-01,1.2094,0.4864103
1,5.88E-01,1.20764,0.4701087
1.1,5.91E-01,1.21765,0.4535553
1.2,5.99E-01,1.2223,0.4876001
1.3,5.79E-01,1.22287,0.5308051
1.4,5.68E-01,1.22086,0.5110602
1.5,5.93E-01,1.19054,0.5185574
1.6,5.90E-01,1.20173,0.5339612
1.7,5.89E-01,1.20787,0.4993492
1.8,6.09E-01,1.18946,0.4859064
1.9,5.89E-01,1.2053,0.5363068
2,5.87E-01,1.20046,0.5427336
2.1,5.81E-01,1.21306,0.5280921
2.2,5.53E-01,1.23319,0.5136772
2.3,5.64E-01,1.21928,0.5059402
2.4,5.57E-01,1.22132,0.5457466
2.5,5.86E-01,1.21875,0.5576172
2.6,5.95E-01,1.21693,0.4781893
2.7,5.92E-01,1.21101,0.5130932
2.8,5.86E-01,1.20079,0.5138269
2.9,6.11E-01,1.19265,0.4971797
3,5.97E-01,1.20221,0.4874699
3.1,5.88E-01,1.19824,0.5076637
3.2,5.76E-01,1.21791,0.4574107
3.3,5.78E-01,1.19367,0.4982474
3.4,5.82E-01,1.20634,0.5281867
3.5,5.85E-01,1.20477,0.5040725
3.6,5.69E-01,1.20136,0.5591706
3.7,5.77E-01,1.20012,0.5725702
3.8,5.74E-01,1.17844,0.5793592
3.9,5.69E-01,1.20418,0.5457363
4,5.90E-01,1.18645,0.6012068
4.1,5.85E-01,1.19947,0.5597861
4.2,5.81E-01,1.18471,0.5473174
4.3,5.84E-01,1.19837,0.5410722
4.4,5.80E-01,1.19116,0.5380684
4.5,5.89E-01,1.20574,0.5657339
4.6,5.95E-01,1.18919,0.5246511
4.7,6.01E-01,1.20544,0.5249848
4.8,5.95E-01,1.19938,0.5021228
4.9,5.77E-01,1.20451,0.5105963
5,5.72E-01,1.22766,0.4898501
5.1,5.77E-01,1.21975,0.5418386
5.2,5.80E-01,1.23125,0.5235732
5.3,6.01E-01,1.21157,0.4942
5.4,5.84E-01,1.22442,0.5126996
5.5,5.92E-01,1.21953,0.5076643
5.6,5.82E-01,1.20539,0.5210873
5.7,5.94E-01,1.22214,0.522374
5.8,5.79E-01,1.18504,0.5279025
5.9,5.89E-01,1.21259,0.5254366
6,5.90E-01,1.19603,0.5333954
6.1,6.01E-01,1.18889,0.5469584
6.2,5.99E-01,1.20383,0.4772558
6.3,5.90E-01,1.20846,0.5301613
6.4,5.95E-01,1.20915,0.5052086
6.5,6.06E-01,1.2054,0.4894717
6.6,6.03E-01,1.20946,0.4883323
6.7,6.03E-01,1.21639,0.4669548
6.8,5.69E-01,1.21413,0.5343317
6.9,5.79E-01,1.20255,0.5130025
7,5.75E-01,1.18798,0.5631172
7.1,5.85E-01,1.21501,0.5258601
7.2,5.75E-01,1.21967,0.530189
7.3,5.96E-01,1.20547,0.5154212
7.4,5.99E-01,1.20889,0.5140214
7.5,5.97E-01,1.21729,0.5170439
7.6,5.62E-01,1.21869,0.5615528
7.7,5.88E-01,1.20641,0.5342454
7.8,5.83E-01,1.20906,0.5075121
7.9,5.66E-01,1.2098,0.5102929
8,5.64E-01,1.21817,0.5263972
8.1,5.55E-01,1.22139,0.5318635
8.2,5.81E-01,1.21313,0.5071808
8.3,5.71E-01,1.22457,0.5139579
8.4,5.73E-01,1.21312,0.4979842
8.5,5.73E-01,1.21645,0.494418
8.6,5.61E-01,1.19215,0.5006014
8.7,5.52E-01,1.20673,0.4969901
8.8,5.60E-01,1.20469,0.5153947
8.9,5.66E-01,1.23547,0.5141852
9,5.86E-01,1.20072,0.5057458
9.1,5.86E-01,1.21882,0.5111948
9.2,5.82E-01,1.2025,0.5046256
9.3,5.74E-01,1.2139,0.4917206
9.4,5.66E-01,1.22277,0.4748125
9.5,5.63E-01,1.21221,0.4969795
9.6,5.84E-01,1.21465,0.4659931
9.7,5.88E-01,1.21992,0.4680835
9.8,5.93E-01,1.21922,0.4889413
9.9,5.74E-01,1.22773,0.4822776
10,5.91E-01,1.19884,0.4580809
10.1,5.88E-01,1.21312,0.4809552
10.2,5.90E-01,1.21647,0.4903043
10.3,5.97E-01,1.20779,0.5016143
10.4,6.17E-01,1.21721,0.506737
10.5,6.26E-01,1.22589,0.4712667
10.6,6.19E-01,1.22782,0.4719927
10.7,6.26E-01,1.22204,0.4686632
10.8,6.27E-01,1.24159,0.46736
10.9,6.38E-01,1.22985,0.5014961
11,6.24E-01,1.21792,0.4997851
11.1,6.29E-01,1.2359,0.4753928
11.2,6.29E-01,1.23999,0.4713257
11.3,6.29E-01,1.24291,0.4852178
11.4,6.05E-01,1.24972,0.4717508
11.5,6.18E-01,1.26044,0.4716772
11.6,6.22E-01,1.25242,0.4663613
11.7,6.13E-01,1.23512,0.4858682
11.8,6.18E-01,1.22657,0.4748732
11.9,5.86E-01,1.25117,0.499722
12,6.12E-01,1.24176,0.4594164
12.1,5.62E-01,1.23921,0.4700173
12.2,5.59E-01,1.24415,0.4509734
12.3,5.89E-01,1.2429,0.4388418
12.4,5.77E-01,1.24621,0.4605688
12.5,5.66E-01,1.25377,0.4801818
12.6,5.92E-01,1.26152,0.5231575
12.7,5.68E-01,1.24827,0.5630032
12.8,5.62E-01,1.23105,0.5399393
12.9,5.97E-01,1.23417,0.5616658
13,6.04E-01,1.23058,0.5382675
13.1,6.03E-01,1.22702,0.545469
13.2,6.05E-01,1.22325,0.562703
13.3,5.94E-01,1.24219,0.5227868
13.4,5.86E-01,1.25137,0.533312
13.5,5.92E-01,1.23085,0.5210278
13.6,5.76E-01,1.23309,0.5030292
13.7,5.85E-01,1.24867,0.461761
13.8,5.82E-01,1.26212,0.5354006
13.9,5.93E-01,1.23622,0.4710792
14,5.75E-01,1.24415,0.5173329
14.1,6.02E-01,1.23801,0.5280035
14.2,5.83E-01,1.23793,0.5169142
14.3,5.83E-01,1.23072,0.4776513
14.4,5.85E-01,1.24598,0.4904294
14.5,5.51E-01,1.22755,0.5266835
14.6,5.48E-01,1.23495,0.5950443
14.7,5.56E-01,1.23416,0.5751917
14.8,5.51E-01,1.25322,0.545229
14.9,5.61E-01,1.22361,0.5253085
15,5.51E-01,1.23771,0.4754045
15.1,5.49E-01,1.23564,0.5310517
15.2,5.71E-01,1.2221,0.5523955
15.3,5.73E-01,1.22939,0.517257
15.4,5.52E-01,1.26773,0.538963
15.5,5.59E-01,1.23374,0.5099454
15.6,5.77E-01,1.24112,0.5633432
15.7,5.45E-01,1.25703,0.5169732
15.8,5.51E-01,1.23703,0.5285457
15.9,5.67E-01,1.23809,0.5773129
16,5.76E-01,1.21677,0.6015097
16.1,5.73E-01,1.22512,0.6017758
16.2,5.78E-01,1.22719,0.5830339
16.3,6.03E-01,1.23925,0.6280079
16.4,5.98E-01,1.25751,0.5468369
16.5,5.98E-01,1.24535,0.6070786
16.6,6.04E-01,1.22644,0.5821989
16.7,5.92E-01,1.22915,0.5751678
16.8,6.13E-01,1.23279,0.56566
16.9,5.99E-01,1.23193,0.5715384
17,5.77E-01,1.24968,0.5518632
17.1,5.74E-01,1.22579,0.5932992
17.2,5.72E-01,1.24984,0.5604917
17.3,5.90E-01,1.23654,0.5411202
17.4,6.01E-01,1.22975,0.5311266
17.5,6.03E-01,1.23235,0.5507974
17.6,5.84E-01,1.23867,0.5439109
17.7,6.00E-01,1.21484,0.5937571
17.8,5.99E-01,1.22713,0.562942
17.9,6.02E-01,1.21913,0.5664483
18,5.88E-01,1.22031,0.6140881
