Time (ns),Native contact,Rg (nm),RMSD (nm)
0,6.12E-01,1.37512,0.4356091
0.1,6.32E-01,1.36846,0.4027551
0.2,6.33E-01,1.35826,0.4660562
0.3,6.21E-01,1.36427,0.4128083
0.4,6.38E-01,1.34292,0.3839497
0.5,6.33E-01,1.37544,0.4241723
0.6,6.13E-01,1.36519,0.3976643
0.7,6.34E-01,1.35588,0.3948695
0.8,6.32E-01,1.35401,0.3944767
0.9,6.29E-01,1.37686,0.3836398
1,5.96E-01,1.36687,0.4315394
1.1,6.02E-01,1.37564,0.4523016
1.2,5.61E-01,1.39324,0.4549513
1.3,5.79E-01,1.35494,0.4402303
1.4,5.64E-01,1.33053,0.4573666
1.5,5.55E-01,1.32805,0.4462192
1.6,5.30E-01,1.34902,0.5154684
1.7,5.30E-01,1.38973,0.5185527
1.8,5.10E-01,1.36021,0.5024601
1.9,5.03E-01,1.36064,0.5346488
2,4.83E-01,1.3528,0.5705351
2.1,4.89E-01,1.35025,0.4980023
2.2,4.84E-01,1.36201,0.5410033
2.3,4.86E-01,1.35911,0.5372946
2.4,4.70E-01,1.37828,0.5532577
2.5,5.20E-01,1.36746,0.5690537
2.6,4.97E-01,1.35749,0.5596096
2.7,4.98E-01,1.39097,0.6291009
2.8,5.16E-01,1.35722,0.5947739
2.9,4.93E-01,1.36134,0.6013422
3,4.98E-01,1.38755,0.586759
3.1,5.26E-01,1.38864,0.5739707
3.2,5.17E-01,1.40711,0.6238263
3.3,5.07E-01,1.37565,0.5975778
3.4,4.90E-01,1.3944,0.6262972
3.5,4.88E-01,1.40348,0.6416738
3.6,4.79E-01,1.38847,0.62216
3.7,4.90E-01,1.382,0.6569025
3.8,4.87E-01,1.3631,0.6059552
3.9,4.96E-01,1.38356,0.5851119
4,5.07E-01,1.38245,0.5361512
4.1,5.05E-01,1.38701,0.5492163
4.2,5.07E-01,1.36652,0.5515806
4.3,5.16E-01,1.38864,0.5614836
4.4,4.88E-01,1.38,0.5374508
4.5,4.85E-01,1.38538,0.5649509
4.6,4.83E-01,1.36696,0.5363744
4.7,4.93E-01,1.37672,0.5700034
4.8,4.80E-01,1.37179,0.5169916
4.9,4.87E-01,1.38067,0.5329211
5,5.00E-01,1.38975,0.5095889
5.1,4.91E-01,1.38972,0.5642025
5.2,5.01E-01,1.37776,0.5681515
5.3,5.00E-01,1.38445,0.562689
5.4,4.94E-01,1.3856,0.5857931
5.5,5.02E-01,1.3953,0.569911
5.6,5.18E-01,1.36032,0.5033615
5.7,5.20E-01,1.37792,0.5252856
5.8,4.85E-01,1.39296,0.547181
5.9,4.93E-01,1.38413,0.5480815
6,5.30E-01,1.37497,0.4962714
6.1,5.02E-01,1.37832,0.5667254
6.2,5.08E-01,1.36155,0.5364301
6.3,5.00E-01,1.37401,0.5404888
6.4,4.87E-01,1.39624,0.606333
6.5,4.94E-01,1.39266,0.5751259
6.6,5.10E-01,1.3901,0.5521452
6.7,5.32E-01,1.36543,0.5066758
6.8,5.13E-01,1.37315,0.4924497
6.9,5.26E-01,1.3842,0.5061255
7,5.48E-01,1.37753,0.5228608
7.1,5.07E-01,1.40432,0.5681881
7.2,4.94E-01,1.43117,0.6067694
7.3,5.02E-01,1.4259,0.6295512
7.4,5.09E-01,1.41637,0.5795252
7.5,5.05E-01,1.39876,0.5808998
7.6,5.12E-01,1.36289,0.5786711
7.7,5.33E-01,1.35416,0.5859748
7.8,5.07E-01,1.35914,0.5975206
7.9,5.11E-01,1.37917,0.5932119
8,4.55E-01,1.39236,0.6375365
8.1,4.73E-01,1.38763,0.5998254
8.2,4.77E-01,1.41863,0.6309558
8.3,4.80E-01,1.39146,0.6266037
8.4,4.97E-01,1.38745,0.6207852
8.5,4.90E-01,1.39468,0.6021137
8.6,5.15E-01,1.36719,0.5972012
8.7,5.15E-01,1.3719,0.5415673
8.8,5.22E-01,1.39401,0.5221932
8.9,4.96E-01,1.39418,0.6056315
9,5.15E-01,1.38592,0.5562598
9.1,5.05E-01,1.39769,0.597444
9.2,4.99E-01,1.39228,0.6172526
9.3,5.02E-01,1.40431,0.5825664
9.4,5.32E-01,1.39837,0.4880037
9.5,5.05E-01,1.41772,0.5576202
9.6,4.93E-01,1.40051,0.5426561
9.7,4.93E-01,1.38298,0.5140052
9.8,5.06E-01,1.40196,0.5022019
9.9,4.90E-01,1.42716,0.5270891
10,5.17E-01,1.38765,0.5331398
10.1,5.12E-01,1.41151,0.5857306
10.2,5.10E-01,1.42172,0.5480758
10.3,5.20E-01,1.41713,0.5867026
10.4,5.06E-01,1.40764,0.5479913
10.5,5.15E-01,1.41765,0.5714407
10.6,4.97E-01,1.41997,0.5550693
10.7,4.91E-01,1.41004,0.5419137
10.8,5.05E-01,1.42302,0.5958912
10.9,5.13E-01,1.446,0.604858
11,4.94E-01,1.44876,0.5874697
11.1,5.29E-01,1.41423,0.547811
11.2,5.06E-01,1.40328,0.5395198
11.3,5.20E-01,1.38151,0.5526035
11.4,5.41E-01,1.3707,0.5253388
11.5,5.35E-01,1.3629,0.5153814
11.6,5.30E-01,1.35706,0.4939965
11.7,5.28E-01,1.37655,0.524431
11.8,5.23E-01,1.38853,0.5384741
11.9,5.46E-01,1.38781,0.5176113
12,5.55E-01,1.39135,0.5428535
12.1,5.29E-01,1.39196,0.5310912
12.2,5.61E-01,1.40393,0.5119138
12.3,5.64E-01,1.38931,0.4855294
12.4,5.79E-01,1.39637,0.5100024
12.5,5.39E-01,1.40856,0.5307008
12.6,5.67E-01,1.39249,0.5148103
12.7,6.01E-01,1.38897,0.4846206
12.8,5.92E-01,1.39797,0.5286348
12.9,5.91E-01,1.40886,0.5507069
13,5.63E-01,1.42265,0.5310009
13.1,5.72E-01,1.42734,0.5451096
13.2,5.75E-01,1.41679,0.5231668
13.3,5.61E-01,1.42589,0.5695605
13.4,5.40E-01,1.40186,0.603186
13.5,5.11E-01,1.38922,0.5907321
13.6,5.51E-01,1.41525,0.5933095
13.7,5.13E-01,1.4131,0.5953019
13.8,5.32E-01,1.41471,0.6039014
13.9,5.17E-01,1.41312,0.5864594
14,5.15E-01,1.40453,0.5573581
14.1,5.49E-01,1.38265,0.5343278
14.2,5.59E-01,1.38574,0.5505912
14.3,5.60E-01,1.38828,0.5401678
14.4,5.59E-01,1.40952,0.5940709
14.5,5.74E-01,1.38037,0.5698503
14.6,5.29E-01,1.42816,0.5596634
14.7,5.14E-01,1.43157,0.578029
14.8,5.15E-01,1.40799,0.5787133
14.9,5.22E-01,1.40609,0.5859575
15,5.50E-01,1.3995,0.5821516
15.1,5.41E-01,1.40639,0.5966892
15.2,5.28E-01,1.40717,0.5576094
15.3,5.40E-01,1.37262,0.5666737
15.4,5.29E-01,1.39288,0.5710914
15.5,5.30E-01,1.38519,0.5649823
15.6,5.55E-01,1.38412,0.5731708
15.7,5.47E-01,1.40145,0.5715957
15.8,5.42E-01,1.37737,0.5721456
15.9,5.29E-01,1.39245,0.5936329
16,5.40E-01,1.39615,0.5582261
16.1,5.39E-01,1.39819,0.5574419
16.2,5.33E-01,1.3889,0.5982324
16.3,5.33E-01,1.40201,0.5512077
16.4,5.46E-01,1.39186,0.5542744
16.5,5.67E-01,1.38757,0.5301276
16.6,5.27E-01,1.41627,0.5508451
16.7,5.53E-01,1.39779,0.5350562
16.8,5.68E-01,1.35074,0.517103
16.9,5.55E-01,1.36873,0.5053983
17,5.39E-01,1.39043,0.5619764
17.1,5.60E-01,1.37771,0.5148018
17.2,5.29E-01,1.37864,0.5455158
17.3,4.89E-01,1.38925,0.6238684
17.4,5.26E-01,1.38686,0.6330096
17.5,5.32E-01,1.3979,0.6357365
17.6,5.51E-01,1.37805,0.6069084
17.7,5.36E-01,1.36891,0.5974507
17.8,5.21E-01,1.36103,0.5957293
17.9,5.41E-01,1.36231,0.6067594
18,5.58E-01,1.37239,0.5974427
18.1,5.62E-01,1.37427,0.559651
18.2,5.69E-01,1.3731,0.5855017
18.3,5.68E-01,1.37041,0.5504498
18.4,5.55E-01,1.38734,0.5803903
18.5,5.68E-01,1.36983,0.5884169
18.6,5.74E-01,1.37099,0.5911984
18.7,5.68E-01,1.38809,0.5788085
18.8,5.61E-01,1.40268,0.6012241
18.9,5.52E-01,1.39541,0.646316
19,5.63E-01,1.42,0.636919
19.1,5.35E-01,1.43698,0.624137
19.2,5.47E-01,1.40768,0.6251545
19.3,5.43E-01,1.40338,0.6140345
19.4,5.52E-01,1.38315,0.6279137
19.5,5.36E-01,1.4003,0.6302963
19.6,5.28E-01,1.4087,0.6388735
19.7,5.28E-01,1.41014,0.6180425
19.8,5.02E-01,1.43126,0.6423986
19.9,5.03E-01,1.44332,0.6608319
20,5.02E-01,1.43282,0.675134
20.1,4.85E-01,1.43491,0.6599453
20.2,5.05E-01,1.43649,0.6791453
20.3,4.72E-01,1.42742,0.628503
20.4,5.37E-01,1.42175,0.5713645
20.5,5.12E-01,1.42957,0.5942748
20.6,5.04E-01,1.42822,0.5795581
20.7,5.42E-01,1.41357,0.660684
20.8,5.01E-01,1.44921,0.6998318
20.9,4.91E-01,1.44609,0.7005628
21,5.22E-01,1.40882,0.6716962
21.1,5.25E-01,1.40675,0.6589634
21.2,4.91E-01,1.41806,0.7183985
21.3,4.84E-01,1.46439,0.7301095
21.4,5.06E-01,1.45889,0.7362785
21.5,5.30E-01,1.45145,0.6925831
21.6,5.18E-01,1.43011,0.6990793
21.7,5.26E-01,1.43374,0.7137637
21.8,5.10E-01,1.45755,0.7285972
21.9,5.07E-01,1.42559,0.736636
22,5.11E-01,1.43295,0.7095776
22.1,5.11E-01,1.42586,0.7214782
22.2,5.28E-01,1.41932,0.7161332
22.3,5.35E-01,1.46839,0.7403957
22.4,5.24E-01,1.46649,0.705805
22.5,5.30E-01,1.45429,0.7011513
22.6,5.19E-01,1.46986,0.7557218
22.7,5.16E-01,1.48982,0.7598059
22.8,5.21E-01,1.44056,0.7350063
22.9,4.57E-01,1.4768,0.7508042
23,4.89E-01,1.45183,0.7505132
23.1,4.70E-01,1.46403,0.7499654
23.2,4.73E-01,1.43745,0.743139
23.3,5.07E-01,1.4394,0.7301887
23.4,5.02E-01,1.43025,0.7154695
23.5,4.82E-01,1.4587,0.7375262
23.6,5.17E-01,1.46153,0.725943
23.7,4.95E-01,1.44839,0.6781966
23.8,5.16E-01,1.42918,0.7082945
23.9,5.20E-01,1.4149,0.7078729
24,5.10E-01,1.42434,0.7200492
24.1,5.18E-01,1.43942,0.6802548
24.2,5.15E-01,1.44406,0.6695412
24.3,5.17E-01,1.42706,0.6704129
24.4,5.32E-01,1.4194,0.7032797
24.5,5.47E-01,1.40679,0.6446973
24.6,5.36E-01,1.42574,0.6690515
24.7,5.47E-01,1.41288,0.6192212
24.8,5.65E-01,1.39514,0.6135175
24.9,5.26E-01,1.40114,0.625457
25,5.31E-01,1.3987,0.6198975
25.1,5.38E-01,1.40282,0.6206459
25.2,5.44E-01,1.40039,0.6168885
25.3,5.57E-01,1.41851,0.6136881
25.4,5.39E-01,1.42136,0.6141358
25.5,5.74E-01,1.39777,0.5520126
25.6,5.61E-01,1.41701,0.5793844
25.7,5.64E-01,1.41212,0.5857684
25.8,5.63E-01,1.4174,0.5987737
25.9,5.10E-01,1.41344,0.5942256
26,5.16E-01,1.4082,0.613853
26.1,5.11E-01,1.43278,0.6116681
26.2,5.29E-01,1.44857,0.6368051
26.3,5.31E-01,1.43113,0.6584312
26.4,5.35E-01,1.42091,0.6976258
26.5,5.29E-01,1.42645,0.6712351
26.6,5.30E-01,1.41048,0.6424778
26.7,5.29E-01,1.41446,0.6514555
26.8,4.89E-01,1.41593,0.6446206
26.9,4.93E-01,1.41202,0.6021844
27,4.92E-01,1.38629,0.5601831
27.1,5.11E-01,1.42651,0.5409546
27.2,5.11E-01,1.42584,0.5803101
27.3,5.14E-01,1.44974,0.5948054
27.4,5.34E-01,1.42585,0.6040652
27.5,5.52E-01,1.40146,0.5643733
27.6,5.29E-01,1.4015,0.5720159
27.7,5.27E-01,1.38593,0.5008166
27.8,5.35E-01,1.39074,0.4829609
27.9,5.30E-01,1.37284,0.5221685
28,5.71E-01,1.35385,0.5353494
28.1,5.45E-01,1.37615,0.54763
28.2,5.45E-01,1.36816,0.5123559
28.3,5.76E-01,1.35968,0.5181518
28.4,5.54E-01,1.36738,0.5429936
28.5,5.57E-01,1.36784,0.518474
28.6,5.68E-01,1.35339,0.5148543
28.7,5.65E-01,1.36351,0.4837533
28.8,5.72E-01,1.34942,0.507426
28.9,5.95E-01,1.36799,0.4930507
29,5.39E-01,1.35834,0.4998809
29.1,5.41E-01,1.38521,0.5081105
29.2,5.41E-01,1.35481,0.4773059
29.3,5.47E-01,1.3553,0.5183149
29.4,5.77E-01,1.34552,0.4889244
29.5,5.35E-01,1.36058,0.5247502
29.6,5.38E-01,1.3716,0.524238
29.7,5.44E-01,1.37281,0.5322983
29.8,5.17E-01,1.37075,0.5208092
29.9,5.25E-01,1.37313,0.4994225
30,4.92E-01,1.37591,0.5289426
30.1,5.03E-01,1.38759,0.5550628
30.2,5.08E-01,1.37204,0.5206957
30.3,5.12E-01,1.36137,0.5136437
30.4,4.91E-01,1.39076,0.5539393
30.5,5.31E-01,1.37535,0.5391802
