Time (ns),Native contact,Rg (nm),RMSD (nm)
0,8.16E-01,1.4171,0.2051741
0.1,8.17E-01,1.44425,0.2052582
0.2,8.19E-01,1.42577,0.2207118
0.3,8.00E-01,1.44673,0.2789804
0.4,8.04E-01,1.42625,0.2198161
0.5,8.00E-01,1.4256,0.2734828
0.6,8.17E-01,1.42721,0.1822624
0.7,7.79E-01,1.42358,0.2111423
0.8,8.24E-01,1.40935,0.1732802
0.9,8.14E-01,1.41897,0.1843143
1,8.15E-01,1.44439,0.1721311
1.1,8.36E-01,1.43783,0.1831463
1.2,8.20E-01,1.43399,0.1924444
1.3,8.32E-01,1.43416,0.1703848
1.4,8.31E-01,1.44687,0.1803392
1.5,8.32E-01,1.42407,0.1698483
1.6,8.38E-01,1.42915,0.1957116
1.7,8.22E-01,1.4409,0.2362939
1.8,8.30E-01,1.4348,0.2422319
1.9,8.26E-01,1.42446,0.2578672
2,8.40E-01,1.42376,0.232448
2.1,8.29E-01,1.45409,0.2548201
2.2,8.27E-01,1.44684,0.2303343
2.3,8.33E-01,1.42544,0.2506614
2.4,8.38E-01,1.40571,0.2681628
2.5,8.35E-01,1.41427,0.2702127
2.6,8.32E-01,1.44417,0.2236464
2.7,8.37E-01,1.44924,0.1808496
2.8,8.32E-01,1.43457,0.1892212
2.9,8.12E-01,1.44225,0.1730227
3,7.86E-01,1.43877,0.2281807
3.1,8.25E-01,1.43524,0.1835603
3.2,8.42E-01,1.42857,0.1702341
3.3,8.43E-01,1.43051,0.1625919
3.4,8.12E-01,1.43455,0.1984787
3.5,8.15E-01,1.43865,0.2089006
3.6,8.09E-01,1.46292,0.2710124
3.7,8.14E-01,1.44043,0.2269462
3.8,8.27E-01,1.43067,0.2096374
3.9,8.20E-01,1.43639,0.2012253
4,8.37E-01,1.43245,0.1928171
4.1,8.47E-01,1.42989,0.2287494
4.2,8.41E-01,1.43496,0.241621
4.3,8.34E-01,1.43644,0.2271341
4.4,8.32E-01,1.43278,0.2412242
4.5,8.19E-01,1.44562,0.2362867
4.6,8.30E-01,1.43125,0.2394341
4.7,8.13E-01,1.44546,0.24077
4.8,8.20E-01,1.4531,0.2455404
4.9,8.11E-01,1.44488,0.242838
5,8.32E-01,1.41539,0.2720532
5.1,8.32E-01,1.42072,0.25802
5.2,8.30E-01,1.44711,0.253279
5.3,8.37E-01,1.41005,0.2650455
5.4,8.22E-01,1.43751,0.2609564
5.5,8.24E-01,1.45558,0.2288582
5.6,8.24E-01,1.4299,0.2602713
5.7,8.20E-01,1.45545,0.2404614
5.8,8.02E-01,1.42816,0.2589922
5.9,8.27E-01,1.42219,0.2529446
6,8.08E-01,1.43259,0.2438409
6.1,8.17E-01,1.42649,0.2511114
6.2,8.05E-01,1.42756,0.231613
6.3,8.16E-01,1.42708,0.235392
6.4,8.14E-01,1.42232,0.2477919
6.5,8.09E-01,1.42795,0.2449398
6.6,8.15E-01,1.42537,0.2537889
6.7,8.13E-01,1.39494,0.2757507
6.8,7.80E-01,1.41329,0.2689921
6.9,7.77E-01,1.42186,0.2859366
7,7.78E-01,1.42424,0.2878419
7.1,7.59E-01,1.44069,0.2797651
7.2,7.67E-01,1.42868,0.2855724
7.3,7.67E-01,1.41294,0.2644177
7.4,7.68E-01,1.44232,0.2452277
7.5,7.67E-01,1.42448,0.2785854
7.6,7.67E-01,1.43092,0.2656189
7.7,7.87E-01,1.41517,0.2748513
7.8,7.83E-01,1.41652,0.2664922
7.9,7.83E-01,1.41534,0.2771213
8,7.76E-01,1.40218,0.3040137
8.1,7.71E-01,1.42149,0.2916148
8.2,7.83E-01,1.4214,0.3107163
8.3,7.79E-01,1.3865,0.3077495
8.4,7.93E-01,1.40725,0.2919297
8.5,7.70E-01,1.43335,0.298299
8.6,7.66E-01,1.42978,0.2850108
8.7,7.76E-01,1.4233,0.2726547
8.8,7.47E-01,1.41929,0.3002603
8.9,7.63E-01,1.44093,0.2595497
9,7.94E-01,1.42571,0.2055748
9.1,7.68E-01,1.46054,0.2563722
9.2,7.87E-01,1.44563,0.2609025
9.3,8.01E-01,1.45003,0.2426099
9.4,7.93E-01,1.41425,0.2276012
9.5,7.87E-01,1.42543,0.2210474
9.6,7.83E-01,1.43486,0.2119695
9.7,7.73E-01,1.42238,0.2374775
9.8,7.55E-01,1.41343,0.2432945
9.9,7.59E-01,1.43809,0.2134382
10,7.66E-01,1.44293,0.2293515
10.1,7.60E-01,1.42257,0.2691619
10.2,7.65E-01,1.40912,0.291724
10.3,7.43E-01,1.41168,0.293891
10.4,7.44E-01,1.41541,0.2811401
10.5,7.82E-01,1.42156,0.2905689
10.6,7.63E-01,1.42005,0.2953256
10.7,7.41E-01,1.41669,0.2986219
10.8,6.94E-01,1.41228,0.2906241
10.9,7.01E-01,1.44114,0.2669791
11,7.15E-01,1.43626,0.2427744
11.1,7.04E-01,1.43028,0.2463141
11.2,7.02E-01,1.43542,0.2472026
11.3,6.81E-01,1.42804,0.2672677
11.4,6.71E-01,1.44585,0.2740399
11.5,6.32E-01,1.45912,0.3249277
11.6,6.70E-01,1.42863,0.3005403
11.7,6.36E-01,1.44506,0.2912134
11.8,6.49E-01,1.44508,0.2649699
11.9,6.57E-01,1.45207,0.2539692
12,6.64E-01,1.46888,0.2705728
12.1,6.66E-01,1.46489,0.3095862
12.2,6.91E-01,1.46343,0.2896798
12.3,6.82E-01,1.44542,0.2776497
12.4,6.61E-01,1.49696,0.2976435
12.5,6.14E-01,1.45691,0.3175789
12.6,6.33E-01,1.52082,0.3106418
12.7,5.92E-01,1.45483,0.3228819
12.8,6.16E-01,1.46597,0.3230734
12.9,6.02E-01,1.46775,0.3447898
13,6.04E-01,1.47454,0.3304344
13.1,5.56E-01,1.50268,0.3739724
13.2,5.72E-01,1.50205,0.3735506
13.3,5.75E-01,1.51049,0.378265
13.4,5.45E-01,1.50205,0.3988699
13.5,5.10E-01,1.53392,0.4992442
13.6,5.33E-01,1.53473,0.5743862
13.7,5.21E-01,1.56579,0.5790427
13.8,5.41E-01,1.54796,0.551908
13.9,5.34E-01,1.54459,0.5583409
14,5.45E-01,1.54361,0.5766952
14.1,5.46E-01,1.52898,0.5999913
14.2,5.55E-01,1.51999,0.5933661
14.3,5.24E-01,1.50573,0.5746636
14.4,5.31E-01,1.4992,0.5665523
14.5,5.56E-01,1.50955,0.5679422
14.6,5.60E-01,1.5064,0.5278148
14.7,5.61E-01,1.5005,0.5588681
14.8,5.61E-01,1.5076,0.5914064
14.9,5.78E-01,1.52025,0.6022556
15,5.63E-01,1.514,0.5917039
15.1,5.79E-01,1.52035,0.5600982
15.2,5.69E-01,1.52236,0.5789531
15.3,5.98E-01,1.51124,0.5276023
15.4,5.74E-01,1.52361,0.5722241
