Time (ns),Native contact,Rg (nm),RMSD (nm)
0,2.79E-01,1.64748,1.15219
0.1,2.99E-01,1.62703,1.1671692
0.2,2.86E-01,1.67789,1.2339351
0.3,2.76E-01,1.52412,1.1263109
0.4,2.69E-01,1.51395,1.156335
0.5,2.63E-01,1.60778,1.2111586
0.6,2.75E-01,1.75987,1.3837566
0.7,2.65E-01,1.84325,1.4804541
0.8,2.63E-01,1.7768,1.383792
0.9,2.62E-01,1.86375,1.4774772
1,2.65E-01,1.91483,1.5416493
1.1,3.06E-01,1.8798,1.5429765
1.2,3.01E-01,1.9275,1.6318545
1.3,3.13E-01,1.78456,1.4571226
1.4,3.05E-01,1.86465,1.5237434
1.5,3.06E-01,1.82151,1.457054
1.6,3.08E-01,1.8532,1.5083933
1.7,2.97E-01,1.74427,1.2737197
1.8,2.62E-01,1.96325,1.5134292
1.9,2.38E-01,1.95296,1.547146
2,2.40E-01,2.05597,1.7786703
2.1,2.54E-01,1.93376,1.5776634
2.2,2.24E-01,1.95877,1.5728188
2.3,2.60E-01,2.0089,1.7065606
2.4,2.53E-01,1.94106,1.6949089
2.5,2.47E-01,1.93231,1.6587527
2.6,2.42E-01,1.95826,1.6833621
2.7,1.98E-01,1.87384,1.5569777
2.8,2.04E-01,1.97386,1.6896329
2.9,2.00E-01,1.87314,1.6296631
3,2.14E-01,2.03228,1.784307
3.1,2.03E-01,1.91076,1.5509634
3.2,1.86E-01,2.03115,1.6803979
3.3,2.09E-01,2.03943,1.6401308
3.4,2.02E-01,2.02161,1.6596587
3.5,2.12E-01,1.86591,1.5156772
3.6,1.99E-01,1.87297,1.5704786
3.7,1.95E-01,1.72257,1.4505833
3.8,2.07E-01,1.86136,1.4903265
3.9,2.01E-01,1.84445,1.5818652
4,2.15E-01,1.86712,1.6150752
4.1,2.19E-01,1.83909,1.5490994
4.2,2.23E-01,1.85859,1.5202303
4.3,1.92E-01,1.944,1.6169488
4.4,1.90E-01,1.78075,1.4905399
4.5,2.04E-01,1.85249,1.5410231
4.6,1.92E-01,1.63411,1.3439294
4.7,2.20E-01,1.6547,1.3559366
4.8,2.30E-01,1.58995,1.3806704
4.9,2.30E-01,1.58387,1.3423077
5,2.39E-01,1.4981,1.2428651
5.1,2.64E-01,1.5186,1.2935697
5.2,2.59E-01,1.57869,1.3314955
5.3,2.35E-01,1.54587,1.2642446
5.4,2.81E-01,1.49531,1.2572629
5.5,2.78E-01,1.52635,1.3245469
5.6,2.50E-01,1.59134,1.4574564
5.7,2.71E-01,1.632,1.4442953
5.8,2.87E-01,1.51153,1.2779816
5.9,2.58E-01,1.48202,1.2353418
6,1.79E-01,1.4778,1.2849097
6.1,1.76E-01,1.40875,1.2182875
6.2,1.66E-01,1.41329,1.2146952
6.3,1.54E-01,1.33787,1.1119382
6.4,1.61E-01,1.35414,1.1459873
6.5,1.52E-01,1.29445,1.1398684
6.6,1.65E-01,1.31372,1.1715701
6.7,1.93E-01,1.30675,1.035652
6.8,1.54E-01,1.28896,1.0819503
6.9,1.21E-01,1.30637,1.0508289
7,1.38E-01,1.24134,1.0928853
7.1,1.70E-01,1.27499,1.0039161
7.2,1.59E-01,1.27883,1.0653169
7.3,1.65E-01,1.26623,1.0163374
7.4,1.50E-01,1.33984,1.0060451
7.5,1.72E-01,1.27989,1.0286437
7.6,1.64E-01,1.37935,1.0943863
7.7,1.76E-01,1.30569,1.0033605
7.8,1.69E-01,1.37513,1.0058542
7.9,1.28E-01,1.5346,1.2097523
8,1.32E-01,1.51228,1.2647943
8.1,1.28E-01,1.66132,1.3912416
8.2,1.31E-01,1.6635,1.4797186
8.3,9.78E-02,1.60557,1.4500437
8.4,1.22E-01,1.60759,1.3964043
8.5,1.27E-01,1.77664,1.5047543
8.6,1.40E-01,1.88832,1.5331032
8.7,1.44E-01,1.96091,1.5981148
8.8,1.25E-01,2.09721,1.7570146
8.9,1.39E-01,2.00881,1.6853228
9,1.35E-01,1.80124,1.5056834
9.1,1.26E-01,1.94826,1.6102806
9.2,1.35E-01,2.04192,1.7187731
9.3,1.45E-01,1.9715,1.6900685
9.4,1.32E-01,1.9001,1.5842872
9.5,1.44E-01,1.86639,1.6315469
9.6,1.29E-01,1.99148,1.6973259
9.7,1.47E-01,1.90544,1.6622289
9.8,1.27E-01,1.95957,1.6676906
9.9,1.30E-01,1.89539,1.6073462
10,1.37E-01,2.05596,1.773416
10.1,1.43E-01,2.00333,1.7099125
10.2,1.33E-01,1.94368,1.599961
10.3,1.35E-01,1.89429,1.5200061
10.4,1.36E-01,1.7603,1.3390893
10.5,1.26E-01,1.75948,1.3982537
10.6,1.18E-01,1.7167,1.3841516
10.7,1.14E-01,1.78698,1.367748
10.8,1.21E-01,2.06035,1.7325861
10.9,1.12E-01,1.98138,1.7635498
11,1.11E-01,1.88339,1.5439159
11.1,1.16E-01,1.94336,1.5360861
11.2,1.16E-01,2.00153,1.6701812
11.3,1.07E-01,2.13733,1.8590101
11.4,1.33E-01,2.16012,1.871822
11.5,1.36E-01,2.26074,2.0295341
11.6,1.16E-01,2.29269,2.0898566
11.7,1.19E-01,2.30033,2.109252
11.8,1.12E-01,2.23738,2.0913994
11.9,1.25E-01,2.24609,1.957047
12,1.26E-01,2.14227,2.0427673
12.1,1.32E-01,2.17449,1.9992766
12.2,1.32E-01,2.25121,2.0543692
12.3,1.38E-01,2.13592,1.9536057
12.4,1.73E-01,1.9611,1.7896963
12.5,1.55E-01,2.08184,1.8915277
12.6,1.32E-01,2.1987,1.9580714
12.7,1.19E-01,2.23802,2.0373421
12.8,1.27E-01,2.20127,1.9867703
12.9,1.31E-01,2.15661,1.9860331
13,1.33E-01,2.05514,1.8685576
13.1,1.46E-01,2.23006,2.0797253
13.2,1.41E-01,2.09405,1.9319139
13.3,1.23E-01,2.07828,1.9681954
13.4,1.31E-01,2.15284,1.994478
13.5,1.22E-01,2.04282,2.0145073
13.6,1.53E-01,2.13708,1.9920968
13.7,1.48E-01,2.13407,1.9999801
13.8,1.29E-01,2.11308,1.9173373
13.9,1.35E-01,2.1149,1.9151825
14,1.31E-01,2.10251,1.906612
14.1,1.29E-01,2.19789,1.95508
14.2,1.54E-01,2.30256,2.0275564
14.3,1.55E-01,2.23602,1.8798267
14.4,1.48E-01,2.05558,1.8016372
14.5,1.32E-01,2.2213,1.8829013
